Gene name,Conserved among nematodes,Conserved only in Caenorhabditis,Unique to C. elegans,"SET-25-dependent endo-siRNAs targets (Lev et al., 2017)","SET-32-dependent endo-siRNAs targets (Kalinava et al., 2018)"
WBGene00020389,1,NaN,NaN,NaN,NaN
WBGene00020390,1,NaN,NaN,NaN,NaN
WBGene00020391,1,NaN,NaN,NaN,NaN
WBGene00020392,NaN,1,NaN,NaN,NaN
WBGene00020393,1,NaN,NaN,NaN,NaN
WBGene00020396,1,NaN,NaN,NaN,NaN
WBGene00020397,1,NaN,NaN,NaN,NaN
WBGene00020398,1,NaN,NaN,NaN,NaN
WBGene00020399,1,NaN,NaN,NaN,NaN
WBGene00020401,NaN,1,NaN,NaN,NaN
WBGene00020402,1,NaN,NaN,NaN,NaN
WBGene00020403,NaN,1,NaN,NaN,NaN
WBGene00020404,NaN,1,NaN,NaN,NaN
WBGene00020407,1,NaN,NaN,NaN,NaN
WBGene00020409,NaN,1,NaN,NaN,NaN
WBGene00020411,NaN,1,NaN,NaN,NaN
WBGene00020412,NaN,1,NaN,NaN,NaN
WBGene00020414,NaN,1,NaN,NaN,NaN
WBGene00020417,1,NaN,NaN,NaN,NaN
WBGene00020418,1,NaN,NaN,NaN,NaN
WBGene00020419,1,NaN,NaN,NaN,NaN
WBGene00020420,NaN,1,NaN,NaN,NaN
WBGene00020422,1,NaN,NaN,NaN,NaN
WBGene00020423,1,NaN,NaN,NaN,NaN
WBGene00020424,1,NaN,NaN,NaN,NaN
WBGene00020425,1,NaN,NaN,NaN,NaN
WBGene00020426,1,NaN,NaN,NaN,NaN
WBGene00020427,1,NaN,NaN,NaN,NaN
WBGene00020433,NaN,NaN,1,NaN,NaN
WBGene00020435,1,NaN,NaN,NaN,NaN
WBGene00020437,1,NaN,NaN,NaN,NaN
WBGene00020438,NaN,1,NaN,NaN,NaN
WBGene00020441,1,NaN,NaN,NaN,NaN
WBGene00020442,1,NaN,NaN,NaN,NaN
WBGene00020443,1,NaN,NaN,NaN,NaN
WBGene00020446,1,NaN,NaN,NaN,NaN
WBGene00020447,1,NaN,NaN,NaN,NaN
WBGene00020448,NaN,1,NaN,NaN,NaN
WBGene00020449,NaN,1,NaN,NaN,NaN
WBGene00020450,NaN,1,NaN,NaN,NaN
WBGene00020451,NaN,1,NaN,NaN,1
WBGene00020453,NaN,1,NaN,NaN,NaN
WBGene00020455,NaN,1,NaN,NaN,NaN
WBGene00020457,NaN,1,NaN,NaN,1
WBGene00020459,NaN,NaN,1,NaN,NaN
WBGene00020461,NaN,1,NaN,NaN,NaN
WBGene00020462,1,NaN,NaN,NaN,NaN
WBGene00020463,NaN,1,NaN,NaN,NaN
WBGene00020466,NaN,1,NaN,NaN,NaN
WBGene00020467,NaN,1,NaN,NaN,NaN
WBGene00020471,1,NaN,NaN,NaN,NaN
WBGene00020472,1,NaN,NaN,NaN,NaN
WBGene00020473,1,NaN,NaN,NaN,NaN
WBGene00020474,1,NaN,NaN,NaN,NaN
WBGene00020475,1,NaN,NaN,NaN,NaN
WBGene00020476,1,NaN,NaN,NaN,NaN
WBGene00020479,1,NaN,NaN,NaN,NaN
WBGene00020480,1,NaN,NaN,NaN,NaN
WBGene00020481,1,NaN,NaN,NaN,NaN
WBGene00020484,NaN,1,NaN,NaN,NaN
WBGene00020490,1,NaN,NaN,NaN,NaN
WBGene00020491,1,NaN,NaN,NaN,NaN
WBGene00020492,NaN,1,NaN,NaN,NaN
WBGene00020494,NaN,NaN,1,NaN,NaN
WBGene00020496,1,NaN,NaN,NaN,NaN
WBGene00020498,1,NaN,NaN,NaN,NaN
WBGene00020499,1,NaN,NaN,NaN,NaN
WBGene00020500,1,NaN,NaN,NaN,NaN
WBGene00020501,1,NaN,NaN,NaN,NaN
WBGene00020502,1,NaN,NaN,NaN,NaN
WBGene00020503,1,NaN,NaN,NaN,NaN
WBGene00020504,1,NaN,NaN,NaN,NaN
WBGene00020507,1,NaN,NaN,NaN,NaN
WBGene00020508,NaN,1,NaN,NaN,NaN
WBGene00020509,1,NaN,NaN,NaN,NaN
WBGene00020511,1,NaN,NaN,NaN,NaN
WBGene00020517,1,NaN,NaN,NaN,NaN
WBGene00020524,NaN,1,NaN,NaN,NaN
WBGene00020527,1,NaN,NaN,NaN,NaN
WBGene00020530,1,NaN,NaN,NaN,NaN
WBGene00020531,1,NaN,NaN,NaN,NaN
WBGene00020532,NaN,1,NaN,NaN,NaN
WBGene00020533,NaN,1,NaN,NaN,NaN
WBGene00020535,NaN,NaN,1,NaN,NaN
WBGene00020537,NaN,1,NaN,NaN,NaN
WBGene00020541,NaN,1,NaN,NaN,NaN
WBGene00020542,NaN,1,NaN,NaN,NaN
WBGene00020544,NaN,1,NaN,NaN,NaN
WBGene00020546,NaN,NaN,1,NaN,NaN
WBGene00020549,1,NaN,NaN,NaN,NaN
WBGene00020553,1,NaN,NaN,NaN,NaN
WBGene00020555,NaN,1,NaN,NaN,NaN
WBGene00020556,1,NaN,NaN,NaN,NaN
WBGene00020557,1,NaN,NaN,NaN,NaN
WBGene00020558,NaN,1,NaN,NaN,NaN
WBGene00020560,1,NaN,NaN,NaN,NaN
WBGene00020562,1,NaN,NaN,NaN,NaN
WBGene00020563,1,NaN,NaN,NaN,NaN
WBGene00020564,NaN,NaN,1,NaN,NaN
WBGene00020575,1,NaN,NaN,NaN,NaN
WBGene00020576,NaN,1,NaN,NaN,NaN
WBGene00020577,NaN,1,NaN,NaN,NaN
WBGene00020578,NaN,1,NaN,NaN,NaN
WBGene00020579,NaN,1,NaN,NaN,NaN
WBGene00020580,1,NaN,NaN,NaN,NaN
WBGene00020588,1,NaN,NaN,NaN,NaN
WBGene00020592,1,NaN,NaN,NaN,NaN
WBGene00020596,1,NaN,NaN,NaN,NaN
WBGene00020598,NaN,1,NaN,NaN,1
WBGene00020600,1,NaN,NaN,NaN,NaN
WBGene00020601,1,NaN,NaN,NaN,NaN
WBGene00020604,1,NaN,NaN,NaN,NaN
WBGene00020605,1,NaN,NaN,NaN,NaN
WBGene00020612,1,NaN,NaN,NaN,NaN
WBGene00020618,NaN,1,NaN,NaN,NaN
WBGene00020624,NaN,1,NaN,NaN,NaN
WBGene00020625,1,NaN,NaN,NaN,NaN
WBGene00020627,NaN,1,NaN,NaN,NaN
WBGene00020628,NaN,1,NaN,NaN,NaN
WBGene00020629,NaN,1,NaN,NaN,NaN
WBGene00020630,1,NaN,NaN,NaN,NaN
WBGene00020632,NaN,1,NaN,NaN,NaN
WBGene00020633,1,NaN,NaN,NaN,NaN
WBGene00020635,NaN,1,NaN,NaN,NaN
WBGene00020636,1,NaN,NaN,NaN,NaN
WBGene00020638,NaN,1,NaN,NaN,NaN
WBGene00020642,NaN,1,NaN,NaN,1
WBGene00020643,NaN,NaN,1,NaN,NaN
WBGene00020647,1,NaN,NaN,NaN,NaN
WBGene00020649,1,NaN,NaN,NaN,NaN
WBGene00020652,1,NaN,NaN,NaN,NaN
WBGene00020653,NaN,1,NaN,NaN,NaN
WBGene00020655,1,NaN,NaN,NaN,NaN
WBGene00020657,1,NaN,NaN,NaN,NaN
WBGene00020658,1,NaN,NaN,NaN,NaN
WBGene00020659,1,NaN,NaN,NaN,NaN
WBGene00020661,1,NaN,NaN,NaN,NaN
WBGene00020663,1,NaN,NaN,NaN,NaN
WBGene00020665,NaN,1,NaN,NaN,NaN
WBGene00020666,NaN,NaN,1,NaN,NaN
WBGene00020667,NaN,NaN,1,NaN,NaN
WBGene00020669,NaN,NaN,1,NaN,NaN
WBGene00020672,1,NaN,NaN,NaN,NaN
WBGene00020673,1,NaN,NaN,NaN,NaN
WBGene00020677,NaN,NaN,1,NaN,NaN
WBGene00020679,1,NaN,NaN,NaN,NaN
WBGene00020682,1,NaN,NaN,NaN,NaN
WBGene00020683,1,NaN,NaN,NaN,NaN
WBGene00020684,1,NaN,NaN,NaN,NaN
WBGene00020686,NaN,1,NaN,NaN,NaN
WBGene00020687,1,NaN,NaN,NaN,NaN
WBGene00020691,1,NaN,NaN,NaN,NaN
WBGene00020695,1,NaN,NaN,NaN,NaN
WBGene00020696,1,NaN,NaN,NaN,NaN
WBGene00020701,1,NaN,NaN,NaN,NaN
WBGene00020702,1,NaN,NaN,NaN,NaN
WBGene00020703,NaN,1,NaN,NaN,NaN
WBGene00020704,1,NaN,NaN,NaN,NaN
WBGene00020705,1,NaN,NaN,NaN,NaN
WBGene00020706,1,NaN,NaN,NaN,NaN
WBGene00020707,1,NaN,NaN,NaN,NaN
WBGene00020709,NaN,1,NaN,NaN,NaN
WBGene00020710,1,NaN,NaN,NaN,NaN
WBGene00020711,NaN,1,NaN,NaN,NaN
WBGene00020713,NaN,1,NaN,NaN,NaN
WBGene00020715,1,NaN,NaN,NaN,NaN
WBGene00020716,NaN,1,NaN,NaN,NaN
WBGene00020717,1,NaN,NaN,NaN,NaN
WBGene00020718,1,NaN,NaN,NaN,NaN
WBGene00020719,1,NaN,NaN,NaN,NaN
WBGene00020721,1,NaN,NaN,NaN,NaN
WBGene00020722,1,NaN,NaN,NaN,NaN
WBGene00020725,NaN,1,NaN,NaN,NaN
WBGene00020726,NaN,1,NaN,NaN,NaN
WBGene00020730,NaN,1,NaN,NaN,NaN
WBGene00020735,1,NaN,NaN,NaN,NaN
WBGene00020738,1,NaN,NaN,NaN,NaN
WBGene00020740,1,NaN,NaN,NaN,NaN
WBGene00020742,1,NaN,NaN,NaN,NaN
WBGene00020743,1,NaN,NaN,NaN,NaN
WBGene00020744,NaN,NaN,1,NaN,NaN
WBGene00020748,1,NaN,NaN,NaN,NaN
WBGene00020756,NaN,1,NaN,NaN,NaN
WBGene00020757,1,NaN,NaN,NaN,NaN
WBGene00020760,NaN,1,NaN,NaN,NaN
WBGene00020761,1,NaN,NaN,NaN,NaN
WBGene00020762,1,NaN,NaN,NaN,NaN
WBGene00020763,1,NaN,NaN,NaN,NaN
WBGene00020765,1,NaN,NaN,NaN,NaN
WBGene00020767,1,NaN,NaN,NaN,NaN
WBGene00020770,1,NaN,NaN,NaN,NaN
WBGene00020771,NaN,1,NaN,NaN,NaN
WBGene00020772,NaN,1,NaN,NaN,NaN
WBGene00020773,NaN,NaN,1,NaN,NaN
WBGene00020777,NaN,1,NaN,NaN,NaN
WBGene00020778,NaN,NaN,1,NaN,NaN
WBGene00020779,1,NaN,NaN,NaN,NaN
WBGene00020781,1,NaN,NaN,NaN,NaN
WBGene00020782,1,NaN,NaN,NaN,NaN
WBGene00020783,NaN,1,NaN,NaN,NaN
WBGene00020784,1,NaN,NaN,NaN,NaN
WBGene00020788,1,NaN,NaN,NaN,NaN
WBGene00020793,NaN,1,NaN,NaN,NaN
WBGene00020796,1,NaN,NaN,NaN,NaN
WBGene00020798,1,NaN,NaN,NaN,NaN
WBGene00020799,1,NaN,NaN,NaN,NaN
WBGene00020800,1,NaN,NaN,NaN,NaN
WBGene00020802,1,NaN,NaN,NaN,NaN
WBGene00020804,1,NaN,NaN,NaN,NaN
WBGene00020808,1,NaN,NaN,NaN,NaN
WBGene00020809,NaN,1,NaN,NaN,NaN
WBGene00020810,NaN,NaN,1,NaN,NaN
WBGene00020812,1,NaN,NaN,NaN,NaN
WBGene00020813,NaN,1,NaN,NaN,NaN
WBGene00020819,NaN,1,NaN,NaN,NaN
WBGene00020820,1,NaN,NaN,NaN,NaN
WBGene00020821,1,NaN,NaN,NaN,NaN
WBGene00020822,1,NaN,NaN,NaN,NaN
WBGene00020823,1,NaN,NaN,NaN,NaN
WBGene00020824,1,NaN,NaN,NaN,NaN
WBGene00020827,1,NaN,NaN,NaN,NaN
WBGene00020829,NaN,NaN,1,NaN,1
WBGene00020830,NaN,NaN,1,NaN,NaN
WBGene00020831,1,NaN,NaN,NaN,NaN
WBGene00020832,NaN,1,NaN,NaN,NaN
WBGene00020833,NaN,1,NaN,NaN,NaN
WBGene00020834,NaN,1,NaN,NaN,NaN
WBGene00020835,NaN,1,NaN,NaN,NaN
WBGene00020836,1,NaN,NaN,NaN,NaN
WBGene00020839,1,NaN,NaN,NaN,NaN
WBGene00020840,NaN,1,NaN,NaN,NaN
WBGene00020841,1,NaN,NaN,NaN,NaN
WBGene00020842,1,NaN,NaN,NaN,NaN
WBGene00020843,NaN,1,NaN,NaN,NaN
WBGene00020851,NaN,1,NaN,NaN,NaN
WBGene00020852,NaN,1,NaN,NaN,NaN
WBGene00020854,1,NaN,NaN,NaN,NaN
WBGene00020855,1,NaN,NaN,NaN,NaN
WBGene00020858,NaN,1,NaN,NaN,NaN
WBGene00020860,1,NaN,NaN,NaN,NaN
WBGene00020864,1,NaN,NaN,NaN,NaN
WBGene00020865,NaN,1,NaN,NaN,NaN
WBGene00020866,1,NaN,NaN,NaN,NaN
WBGene00020867,1,NaN,NaN,NaN,NaN
WBGene00020868,1,NaN,NaN,NaN,NaN
WBGene00020869,NaN,1,NaN,NaN,NaN
WBGene00020877,NaN,1,NaN,NaN,NaN
WBGene00020883,NaN,1,NaN,NaN,NaN
WBGene00020884,1,NaN,NaN,NaN,NaN
WBGene00020890,NaN,1,NaN,NaN,NaN
WBGene00020894,1,NaN,NaN,NaN,NaN
WBGene00020895,1,NaN,NaN,NaN,NaN
WBGene00020896,NaN,1,NaN,NaN,NaN
WBGene00020897,1,NaN,NaN,NaN,NaN
WBGene00020898,NaN,1,NaN,NaN,1
WBGene00020899,NaN,NaN,1,NaN,NaN
WBGene00020901,1,NaN,NaN,NaN,NaN
WBGene00020902,1,NaN,NaN,NaN,NaN
WBGene00020903,1,NaN,NaN,NaN,NaN
WBGene00020904,NaN,1,NaN,NaN,NaN
WBGene00020905,1,NaN,NaN,NaN,NaN
WBGene00020909,1,NaN,NaN,NaN,NaN
WBGene00020910,1,NaN,NaN,NaN,NaN
WBGene00020911,1,NaN,NaN,NaN,NaN
WBGene00020912,NaN,1,NaN,NaN,NaN
WBGene00020913,NaN,1,NaN,NaN,NaN
WBGene00020914,1,NaN,NaN,NaN,NaN
WBGene00020915,1,NaN,NaN,NaN,NaN
WBGene00020920,1,NaN,NaN,NaN,NaN
WBGene00020921,1,NaN,NaN,NaN,NaN
WBGene00020931,1,NaN,NaN,NaN,NaN
WBGene00020932,1,NaN,NaN,NaN,NaN
WBGene00020933,1,NaN,NaN,NaN,NaN
WBGene00020935,1,NaN,NaN,NaN,NaN
WBGene00020936,1,NaN,NaN,NaN,NaN
WBGene00020937,1,NaN,NaN,NaN,NaN
WBGene00020940,1,NaN,NaN,NaN,NaN
WBGene00020942,NaN,1,NaN,NaN,NaN
WBGene00020947,1,NaN,NaN,NaN,NaN
WBGene00020948,NaN,NaN,1,NaN,NaN
WBGene00020949,1,NaN,NaN,NaN,NaN
WBGene00020950,1,NaN,NaN,NaN,NaN
WBGene00020951,1,NaN,NaN,NaN,NaN
WBGene00020952,1,NaN,NaN,NaN,NaN
WBGene00020953,1,NaN,NaN,NaN,NaN
WBGene00020954,1,NaN,NaN,NaN,NaN
WBGene00020955,1,NaN,NaN,NaN,NaN
WBGene00020957,1,NaN,NaN,NaN,NaN
WBGene00020961,1,NaN,NaN,NaN,NaN
WBGene00020962,1,NaN,NaN,NaN,NaN
WBGene00020966,1,NaN,NaN,NaN,NaN
WBGene00020967,NaN,1,NaN,NaN,NaN
WBGene00020968,NaN,NaN,1,NaN,NaN
WBGene00020970,1,NaN,NaN,NaN,NaN
WBGene00020973,NaN,1,NaN,NaN,NaN
WBGene00020978,NaN,1,NaN,NaN,NaN
WBGene00020981,NaN,1,NaN,NaN,NaN
WBGene00020984,NaN,1,NaN,NaN,NaN
WBGene00020985,1,NaN,NaN,NaN,NaN
WBGene00020986,NaN,1,NaN,NaN,NaN
WBGene00020987,NaN,1,NaN,NaN,NaN
WBGene00020988,NaN,1,NaN,NaN,NaN
WBGene00020990,1,NaN,NaN,NaN,NaN
WBGene00020993,1,NaN,NaN,NaN,NaN
WBGene00020994,1,NaN,NaN,NaN,NaN
WBGene00020999,1,NaN,NaN,NaN,NaN
WBGene00021000,NaN,1,NaN,NaN,1
WBGene00021001,NaN,NaN,1,NaN,NaN
WBGene00021002,1,NaN,NaN,NaN,NaN
WBGene00021003,1,NaN,NaN,NaN,NaN
WBGene00021004,1,NaN,NaN,NaN,NaN
WBGene00021005,1,NaN,NaN,NaN,NaN
WBGene00021006,1,NaN,NaN,NaN,NaN
WBGene00021007,NaN,1,NaN,NaN,NaN
WBGene00021008,1,NaN,NaN,NaN,NaN
WBGene00021009,1,NaN,NaN,NaN,NaN
WBGene00021010,1,NaN,NaN,NaN,NaN
WBGene00021011,NaN,1,NaN,NaN,NaN
WBGene00021012,1,NaN,NaN,NaN,NaN
WBGene00021013,NaN,NaN,1,NaN,1
WBGene00021015,NaN,1,NaN,NaN,NaN
WBGene00021016,NaN,1,NaN,NaN,NaN
WBGene00021018,NaN,NaN,1,NaN,NaN
WBGene00021019,NaN,NaN,1,NaN,1
WBGene00021021,1,NaN,NaN,NaN,NaN
WBGene00021022,1,NaN,NaN,NaN,NaN
WBGene00021024,1,NaN,NaN,NaN,NaN
WBGene00021025,1,NaN,NaN,NaN,NaN
WBGene00021026,NaN,1,NaN,NaN,NaN
WBGene00021027,1,NaN,NaN,NaN,NaN
WBGene00021028,1,NaN,NaN,NaN,NaN
WBGene00021029,NaN,NaN,1,NaN,NaN
WBGene00021034,NaN,1,NaN,NaN,NaN
WBGene00021035,NaN,1,NaN,NaN,NaN
WBGene00021036,1,NaN,NaN,NaN,NaN
WBGene00021037,NaN,1,NaN,NaN,NaN
WBGene00021038,NaN,1,NaN,NaN,NaN
WBGene00021041,1,NaN,NaN,NaN,NaN
WBGene00021042,NaN,1,NaN,NaN,NaN
WBGene00021044,NaN,1,NaN,NaN,NaN
WBGene00021045,NaN,NaN,1,NaN,NaN
WBGene00021046,1,NaN,NaN,NaN,NaN
WBGene00021047,NaN,1,NaN,NaN,NaN
WBGene00021049,NaN,1,NaN,NaN,NaN
WBGene00021050,NaN,1,NaN,NaN,NaN
WBGene00021051,NaN,1,NaN,NaN,NaN
WBGene00021056,NaN,1,NaN,NaN,NaN
WBGene00021057,1,NaN,NaN,NaN,NaN
WBGene00021058,1,NaN,NaN,NaN,NaN
WBGene00021059,1,NaN,NaN,NaN,NaN
WBGene00021060,NaN,1,NaN,NaN,NaN
WBGene00021061,1,NaN,NaN,NaN,NaN
WBGene00021063,1,NaN,NaN,NaN,NaN
WBGene00021066,1,NaN,NaN,NaN,NaN
WBGene00021068,NaN,1,NaN,NaN,NaN
WBGene00021070,NaN,1,NaN,NaN,NaN
WBGene00021073,1,NaN,NaN,NaN,NaN
WBGene00021074,1,NaN,NaN,NaN,NaN
WBGene00021076,NaN,NaN,1,NaN,NaN
WBGene00021078,1,NaN,NaN,NaN,NaN
WBGene00021079,NaN,1,NaN,NaN,NaN
WBGene00021080,NaN,1,NaN,NaN,NaN
WBGene00021082,NaN,1,NaN,NaN,NaN
WBGene00021088,1,NaN,NaN,NaN,NaN
WBGene00021092,NaN,1,NaN,NaN,NaN
WBGene00021093,1,NaN,NaN,NaN,NaN
WBGene00021094,1,NaN,NaN,NaN,NaN
WBGene00021095,1,NaN,NaN,NaN,NaN
WBGene00021096,NaN,1,NaN,NaN,NaN
WBGene00021097,1,NaN,NaN,NaN,NaN
WBGene00021098,NaN,1,NaN,NaN,NaN
WBGene00021099,NaN,1,NaN,NaN,NaN
WBGene00021100,NaN,NaN,1,NaN,NaN
WBGene00021103,NaN,1,NaN,NaN,NaN
WBGene00021104,NaN,1,NaN,NaN,NaN
WBGene00021105,NaN,NaN,1,NaN,NaN
WBGene00021110,NaN,1,NaN,NaN,NaN
WBGene00021111,NaN,1,NaN,NaN,NaN
WBGene00021112,1,NaN,NaN,NaN,NaN
WBGene00021113,1,NaN,NaN,NaN,NaN
WBGene00021114,NaN,1,NaN,NaN,NaN
WBGene00021118,NaN,1,NaN,NaN,NaN
WBGene00021121,NaN,1,NaN,NaN,NaN
WBGene00021123,NaN,1,NaN,NaN,NaN
WBGene00021124,NaN,1,NaN,NaN,NaN
WBGene00021128,1,NaN,NaN,NaN,NaN
WBGene00021129,NaN,1,NaN,NaN,NaN
WBGene00021130,NaN,1,NaN,NaN,NaN
WBGene00021131,1,NaN,NaN,NaN,NaN
WBGene00021132,1,NaN,NaN,NaN,NaN
WBGene00021133,1,NaN,NaN,NaN,NaN
WBGene00021146,1,NaN,NaN,NaN,NaN
WBGene00021147,NaN,NaN,1,NaN,NaN
WBGene00021148,NaN,1,NaN,NaN,NaN
WBGene00021149,NaN,1,NaN,NaN,NaN
WBGene00021153,NaN,1,NaN,NaN,NaN
WBGene00021154,NaN,1,NaN,NaN,NaN
WBGene00021155,1,NaN,NaN,NaN,NaN
WBGene00021156,1,NaN,NaN,NaN,NaN
WBGene00021160,1,NaN,NaN,NaN,NaN
WBGene00021161,NaN,1,NaN,NaN,NaN
WBGene00021165,NaN,1,NaN,NaN,NaN
WBGene00021166,NaN,1,NaN,NaN,NaN
WBGene00021167,1,NaN,NaN,NaN,NaN
WBGene00021170,1,NaN,NaN,NaN,NaN
WBGene00021174,NaN,1,NaN,NaN,NaN
WBGene00021175,1,NaN,NaN,NaN,NaN
WBGene00021178,NaN,1,NaN,NaN,NaN
WBGene00021180,NaN,1,NaN,NaN,NaN
WBGene00021185,1,NaN,NaN,NaN,NaN
WBGene00021186,NaN,NaN,1,NaN,NaN
WBGene00021189,NaN,NaN,1,NaN,NaN
WBGene00021191,NaN,1,NaN,NaN,NaN
WBGene00021192,NaN,1,NaN,NaN,NaN
WBGene00021198,NaN,1,NaN,NaN,NaN
WBGene00021199,NaN,NaN,1,NaN,NaN
WBGene00021200,1,NaN,NaN,NaN,NaN
WBGene00021201,1,NaN,NaN,NaN,NaN
WBGene00021202,1,NaN,NaN,NaN,NaN
WBGene00021205,1,NaN,NaN,NaN,NaN
WBGene00021206,NaN,NaN,1,NaN,NaN
WBGene00021207,1,NaN,NaN,NaN,1
WBGene00021208,1,NaN,NaN,NaN,NaN
WBGene00021209,1,NaN,NaN,NaN,NaN
WBGene00021210,1,NaN,NaN,NaN,NaN
WBGene00021211,NaN,NaN,1,NaN,NaN
WBGene00021213,1,NaN,NaN,NaN,NaN
WBGene00021214,1,NaN,NaN,NaN,NaN
WBGene00021238,1,NaN,NaN,NaN,NaN
WBGene00021246,NaN,1,NaN,NaN,NaN
WBGene00021247,1,NaN,NaN,NaN,NaN
WBGene00021248,1,NaN,NaN,NaN,NaN
WBGene00021249,1,NaN,NaN,NaN,NaN
WBGene00021252,1,NaN,NaN,NaN,NaN
WBGene00021256,NaN,1,NaN,NaN,NaN
WBGene00021261,NaN,1,NaN,NaN,NaN
WBGene00021262,NaN,1,NaN,NaN,NaN
WBGene00021264,NaN,1,NaN,NaN,NaN
WBGene00021265,NaN,1,NaN,NaN,NaN
WBGene00021268,1,NaN,NaN,NaN,NaN
WBGene00021269,NaN,1,NaN,NaN,NaN
WBGene00021270,1,NaN,NaN,NaN,NaN
WBGene00021274,NaN,1,NaN,NaN,NaN
WBGene00021275,1,NaN,NaN,NaN,NaN
WBGene00021276,1,NaN,NaN,NaN,NaN
WBGene00021277,1,NaN,NaN,NaN,NaN
WBGene00021279,NaN,1,NaN,NaN,NaN
WBGene00021281,1,NaN,NaN,NaN,NaN
WBGene00021282,NaN,1,NaN,NaN,NaN
WBGene00021286,1,NaN,NaN,NaN,NaN
WBGene00021287,1,NaN,NaN,NaN,NaN
WBGene00021288,NaN,1,NaN,NaN,NaN
WBGene00021292,1,NaN,NaN,NaN,NaN
WBGene00021293,NaN,NaN,1,NaN,NaN
WBGene00021294,1,NaN,NaN,NaN,NaN
WBGene00021295,1,NaN,NaN,NaN,NaN
WBGene00021296,1,NaN,NaN,NaN,NaN
WBGene00021298,1,NaN,NaN,NaN,NaN
WBGene00021304,1,NaN,NaN,NaN,NaN
WBGene00021305,1,NaN,NaN,NaN,NaN
WBGene00021307,NaN,NaN,1,NaN,NaN
WBGene00021310,1,NaN,NaN,NaN,NaN
WBGene00021311,1,NaN,NaN,NaN,NaN
WBGene00021312,1,NaN,NaN,NaN,NaN
WBGene00021313,1,NaN,NaN,NaN,NaN
WBGene00021314,1,NaN,NaN,NaN,NaN
WBGene00021315,1,NaN,NaN,NaN,NaN
WBGene00021316,1,NaN,NaN,NaN,NaN
WBGene00021319,1,NaN,NaN,NaN,NaN
WBGene00021320,1,NaN,NaN,NaN,NaN
WBGene00021323,1,NaN,NaN,NaN,NaN
WBGene00021324,1,NaN,NaN,NaN,NaN
WBGene00021325,1,NaN,NaN,NaN,NaN
WBGene00021326,NaN,1,NaN,NaN,NaN
WBGene00021327,1,NaN,NaN,NaN,NaN
WBGene00021329,NaN,1,NaN,NaN,NaN
WBGene00021331,1,NaN,NaN,NaN,NaN
WBGene00021332,1,NaN,NaN,NaN,NaN
WBGene00021334,1,NaN,NaN,NaN,NaN
WBGene00021338,NaN,NaN,1,NaN,NaN
WBGene00021340,NaN,NaN,1,NaN,NaN
WBGene00021343,1,NaN,NaN,NaN,NaN
WBGene00021344,1,NaN,NaN,NaN,NaN
WBGene00021346,1,NaN,NaN,NaN,NaN
WBGene00021347,1,NaN,NaN,NaN,NaN
WBGene00021348,1,NaN,NaN,NaN,NaN
WBGene00021349,1,NaN,NaN,NaN,NaN
WBGene00021350,1,NaN,NaN,NaN,NaN
WBGene00021351,1,NaN,NaN,NaN,NaN
WBGene00021352,1,NaN,NaN,NaN,NaN
WBGene00021353,1,NaN,NaN,NaN,NaN
WBGene00021354,1,NaN,NaN,NaN,NaN
WBGene00021355,1,NaN,NaN,NaN,NaN
WBGene00021359,1,NaN,NaN,NaN,NaN
WBGene00021362,1,NaN,NaN,NaN,NaN
WBGene00021363,1,NaN,NaN,NaN,NaN
WBGene00021365,1,NaN,NaN,NaN,NaN
WBGene00021366,1,NaN,NaN,NaN,NaN
WBGene00021367,1,NaN,NaN,NaN,NaN
WBGene00021369,1,NaN,NaN,NaN,NaN
WBGene00021370,NaN,1,NaN,NaN,NaN
WBGene00021371,NaN,1,NaN,NaN,NaN
WBGene00021372,1,NaN,NaN,NaN,NaN
WBGene00021374,NaN,1,NaN,NaN,NaN
WBGene00021376,1,NaN,NaN,NaN,NaN
WBGene00021377,1,NaN,NaN,NaN,NaN
WBGene00021378,NaN,1,NaN,NaN,NaN
WBGene00021381,NaN,1,NaN,NaN,NaN
WBGene00021382,NaN,1,NaN,NaN,NaN
WBGene00021386,NaN,1,NaN,NaN,NaN
WBGene00021387,NaN,1,NaN,NaN,NaN
WBGene00021391,NaN,1,NaN,NaN,NaN
WBGene00021392,1,NaN,NaN,NaN,NaN
WBGene00021394,1,NaN,NaN,NaN,NaN
WBGene00021395,1,NaN,NaN,NaN,NaN
WBGene00021396,1,NaN,NaN,NaN,NaN
WBGene00021397,NaN,1,NaN,NaN,NaN
WBGene00021398,NaN,1,NaN,NaN,NaN
WBGene00021401,1,NaN,NaN,NaN,NaN
WBGene00021402,NaN,1,NaN,NaN,NaN
WBGene00021410,NaN,1,NaN,NaN,NaN
WBGene00021411,NaN,NaN,1,NaN,NaN
WBGene00021412,1,NaN,NaN,NaN,NaN
WBGene00021415,1,NaN,NaN,NaN,1
WBGene00021416,1,NaN,NaN,NaN,NaN
WBGene00021419,1,NaN,NaN,NaN,NaN
WBGene00021420,1,NaN,NaN,NaN,NaN
WBGene00021421,1,NaN,NaN,NaN,NaN
WBGene00021423,1,NaN,NaN,NaN,NaN
WBGene00021425,1,NaN,NaN,NaN,1
WBGene00021427,1,NaN,NaN,NaN,NaN
WBGene00021428,1,NaN,NaN,NaN,NaN
WBGene00021433,NaN,1,NaN,NaN,NaN
WBGene00021436,NaN,1,NaN,NaN,NaN
WBGene00021437,1,NaN,NaN,NaN,NaN
